Stock Code,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN,Expiry Date,Subject to Stamp Duty,Shortsell Eligible,CAS Eligible,VCM Eligible,Admitted to Stock Options,Admitted to Stock Futures,Admitted to CCASS,ETF / Fund Manager,Debt Securities Board Lot (Nominal),Debt Securities Investor Type,POS Eligble,"Spread Table
1, 4 = Part A
2 = Part B
3 = Part C
5 = Part D"
00855,CHINA WATER,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG210901242,,Y,Y,Y,Y,,,Y,,,,Y,1
00856,VSTECS,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG9400C1116,,Y,Y,Y,Y,,,Y,,,,Y,1
00857,PETROCHINA,Equity,Equity Securities (Main Board),"2,000",RMB 1.0000,CNE1000003W8,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1
00858,EXTRAWELL PHAR,Equity,Equity Securities (Main Board),"10,000",HKD 0.0100,BMG3285Q1134,,Y,,Y,,,,Y,,,,Y,1
00859,ZHONGCHANG INTL,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG9898M1001,,Y,,Y,,,,Y,,,,Y,1
00860,APOLLO FMG,Equity,Equity Securities (Main Board),"4,000",HKD 0.1000,KYG0410B1023,,Y,Y,Y,,,,Y,,,,Y,1
00861,DC HOLDINGS,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,BMG2759B1072,,Y,Y,Y,Y,,,Y,,,,Y,1
00862,VISION VALUES,Equity,Equity Securities (Main Board),"5,000",HKD 0.0100,KYG9375G1212,,Y,,Y,,,,Y,,,,Y,1
00863,BC TECH GROUP,Equity,Equity Securities (Main Board),500,HKD 0.0100,,,Y,Y,Y,,,,Y,,,,Y,1
00864,WING LEE PPT,Equity,Equity Securities (Main Board),"4,000",HKD 0.0100,BMG9705S1008,,Y,,Y,,,,Y,,,,Y,1
00865,JIANDE INT'L,Equity,Equity Securities (Main Board),"4,000",HKD 0.0050,KYG5139V1077,,Y,,Y,,,,Y,,,,Y,1
00866,CHINA QINFA,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG2159E1070,,Y,,Y,,,,Y,,,,Y,1
00867,CMS,Equity,Equity Securities (Main Board),"1,000",USD 0.0050,KYG211081248,,Y,Y,Y,Y,,,Y,,,,Y,1
00868,XINYI GLASS,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG9828G1082,,Y,Y,Y,Y,,,Y,,,,Y,1
00869,PLAYMATES TOYS,Equity,Equity Securities (Main Board),"4,000",HKD 0.0100,BMG7147S1008,,Y,,Y,,,,Y,,,,Y,1
00871,CH DREDG ENV,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,KYG2116C1033,,Y,,Y,,,,Y,,,,Y,1
00872,TUS INTL,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG9135P1063,,Y,,Y,,,,Y,,,,Y,1
00873,SHIMAO SERVICES,Equity,Equity Securities (Main Board),"1,000",HKD 0.0100,KYG8104A1085,,Y,,Y,,,,Y,,,,Y,1
00874,BAIYUNSHAN PH,Equity,Equity Securities (Main Board),"2,000",RMB 1.0000,CNE100000387,,Y,Y,Y,Y,,,Y,,,,Y,1
00875,CHINA FIN INV,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG2162U1229,,Y,,Y,,,,Y,,,,Y,1
00876,KAISA HEALTH,Equity,Equity Securities (Main Board),"10,000",HKD 0.00125,,,Y,,Y,,,,Y,,,,Y,1
00878,SOUNDWILL HOLD,Equity,Equity Securities (Main Board),500,HKD 0.1000,BMG8277H1530,,Y,,Y,,,,Y,,,,Y,1
00880,SJM HOLDINGS,Equity,Equity Securities (Main Board),"1,000",,HK0880043028,,Y,Y,Y,Y,,,Y,,,,Y,1
00881,ZHONGSHENG HLDG,Equity,Equity Securities (Main Board),500,HKD 0.0001,KYG9894K1085,,Y,Y,Y,Y,,,Y,,,,Y,1
00882,TIANJIN DEV,Equity,Equity Securities (Main Board),"2,000",,HK0882007260,,Y,,Y,,,,Y,,,,Y,1
00883,CNOOC,Equity,Equity Securities (Main Board),"1,000",,HK0883013259,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1
00884,CIFI HOLD GP,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG2140A1076,,Y,Y,Y,Y,,,Y,,,,Y,1
00885,RENTIAN TECH,Equity,Equity Securities (Main Board),"10,000",HKD 0.0010,KYG7507M1078,,Y,,Y,,,,Y,,,,Y,1
00886,SILVER BASE,Equity,Equity Securities (Main Board),"3,000",HKD 0.1000,KYG816941044,,Y,,Y,,,,Y,,,,Y,1
00887,EMPEROR WATCH&J,Equity,Equity Securities (Main Board),"10,000",,HK0000047982,,Y,,Y,,,,Y,,,,Y,1
00888,BISON FINANCE,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG114281022,,Y,,Y,,,,Y,,,,Y,1
00889,DATRONIX HOLD,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG2660A1071,,Y,,Y,,,,Y,,,,Y,1
00891,TRINITY,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG906241002,,Y,,Y,,,,Y,,,,Y,1
00893,CHINAVTM MINING,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,KYG211321081,,Y,,Y,,,,Y,,,,Y,1
00894,MAN YUE TECH,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG5803Y1066,,Y,,Y,,,,Y,,,,Y,1
00895,DONGJIANG ENV,Equity,Equity Securities (Main Board),200,RMB 1.0000,CNE1000001B6,,Y,,Y,,,,Y,,,,Y,1
00896,HANISON,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG428581030,,Y,,Y,,,,Y,,,,Y,1
